item-name,seller-sku,asin,error
B0764L6ZR9,MCF-QA-Test-Item,"Amazon Product name 1"
B07XQFDD99,9Y-KN7U-sN7UD,"Amazon Product name 2","No products found with the given seller-sku"
11111,"B08KDBXHPD ","Amazon Product name 3","No products found with the given seller-sku"
22222,WS07-L-White,"Amazon Product name 4","No products found with the given seller-sku"
33333,MS08-XL-Black,"Amazon Product name 5","No products found with the given seller-sku"
44444,WJ05-XS-Brown,"Amazon Product name 6","No products found with the given seller-sku"
55555,WH02-XL-Orange-k,"Amazon Product name 7","No products found with the given seller-sku"
66666,WT03-M-Red2,"Amazon Product name 8","No products found with the given seller-sku"
77777,MS03-XL-Orange,"Amazon Product name 9","No products found with the given seller-sku"
88888,MJ07-XL-Black,"Amazon Product name 10","No products found with the given seller-sku"
99999,MSH08-32-Blue,"Amazon Product name 11","No products found with the given seller-sku"
111110,WB02-L-Orange,"Amazon Product name 12","No products found with the given seller-sku"
122221,MP03-33-Green,"Amazon Product name 13","No products found with the given seller-sku"
133332,WS02-M-Red,"Amazon Product name 14","No products found with the given seller-sku"
